nome.empresa,setores,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
T4F ENTRETENIMENTO S.A.,Consumo Cíclico / Viagens e Lazer / Produção de Eventos e Shows,311.331,(34.285),64.249,34.987.639,TRUE
TARPON INVESTIMENTOS S.A.,Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos,59.358,12.900,(17.886),16.081.205,TRUE
TAURUS ARMAS S.A.,Bens Industriais / Máquinas e Equipamentos / Armas e Munições,(359.933),4.048,28.616,34.521.727,TRUE
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,Não Classificados / Não Classificado / Não Classificados,244.432,(1.497),36.754,0,TRUE
TEC TOY S.A.,Consumo Cíclico / Viagens e Lazer / Brinquedos e Jogos,(13.852),(2.697),4.226,1.254.197,TRUE
TECHNOS S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Acessórios,456.157,(9.931),7.942,63.134.967,TRUE
TECNISA S.A.,Consumo Cíclico / Construção Civil / Incorporações,780.881,(1.624),74.612,171.643.392,TRUE
TECNOSOLO ENGENHARIA S.A.,Bens Industriais / Construção e Engenharia / Engenharia Consultiva,553,(582),45,80.233.505,TRUE
TEGMA GESTAO LOGISTICA S.A.,Bens Industriais / Transporte / Transporte Rodoviário,511.005,26.621,55.636,32.006.778,TRUE
TEKA-TECELAGEM KUEHNRICH S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,(1.470.970),(35.846),3.942,0,TRUE
TEKNO S.A. - INDUSTRIA E COMERCIO,Materiais Básicos / Siderurgia e Metalurgia / Artefatos de Ferro e Aço,172.108,(1.267),(2.872),310.036,TRUE
TELEC BRASILEIRAS S.A. TELEBRAS,Telecomunicações / Telecomunicações / Telecomunicações,252.900,(116.885),(50.879),3.072.072,TRUE
TELEFÔNICA BRASIL S.A,Telecomunicações / Telecomunicações / Telecomunicações,72.247.696,1.342.142,3.516.599,444.452.657,TRUE
TERMELÉTRICA PERNAMBUCO III S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,(238.471),(19.887),8.034,0,TRUE
TERMINAL GARAGEM MENEZES CORTES S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,119.567,1.118,1.897,0,TRUE
TERMOPERNAMBUCO S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,822.613,30.673,66.482,0,TRUE
TERRA SANTA AGRO S.A.,Consumo não Cíclico / Agropecuária / Agricultura,956.644,(5.324),61.425,7.804.322,TRUE
TEXTIL RENAUXVIEW S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,(302.078),10.722,6.239,4.259.280,TRUE
TIM PARTICIPACOES S.A.,Telecomunicações / Telecomunicações / Telecomunicações,19.919.114,120.034,295.808,807.711.660,TRUE
TOTVS S.A.,Tecnologia da Informação / Programas e Serviços / Programas e Serviços,1.307.010,12.118,41.495,134.465.885,TRUE
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,Bens Industriais / Transporte / Exploração de Rodovias,918.089,(50.627),89.404,74.079.297,TRUE
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.731.634,159.582,185.827,655.704.742,TRUE
TREVISA INVESTIMENTOS S.A.,Bens Industriais / Transporte / Transporte Hidroviário,106.875,1.758,4.066,1.569.600,TRUE
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,Bens Industriais / Transporte / Exploração de Rodovias,405.671,48.426,73.505,610.000,TRUE
TRISUL S.A.,Consumo Cíclico / Construção Civil / Incorporações,634.000,28.949,27.942,40.017.939,TRUE
TRUE SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,3.198,691,836,0,TRUE
TUPY S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,2.182.970,80.442,(6.161),65.947.515,TRUE
ULTRAPAR PARTICIPACOES S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,9.929.929,242.553,462.403,1.085.159.631,TRUE
UNICASA INDÚSTRIA DE MÓVEIS S.A.,Consumo Cíclico / Utilidades Domésticas / Móveis,174.239,2.973,11.297,28.074.138,TRUE
UNIDAS S.A.,Consumo Cíclico / Diversos / Aluguel de carros,1.293.411,46.289,(182.717),0,TRUE
UNIPAR CARBOCLORO S.A.,Materiais Básicos / Químicos / Químicos Diversos,1.463.524,56.189,163.449,59.097.731,TRUE
UPTICK PARTICIPACOES S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,85.704,3.209,(31),0,TRUE
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,15.766.722,76.278,530.910,674.719.826,TRUE
VALE S.A.,Materiais Básicos / Mineração / Minerais Metálicos,168.260.063,(6.545.616),8.261.387,3.147.743.563,TRUE
VALID SOLUÇÕES S.A.,Bens Industriais / Serviços / Serviços Diversos,1.101.802,14.093,43.412,68.845.943,TRUE
VERT COMPANHIA SECURITIZADORA,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,1.140,(125),(351),0,TRUE
VIA VAREJO S.A.,Consumo Cíclico / Comércio / Eletrodomésticos,1.958.000,(49.000),(1.935.000),1.149.229.978,TRUE
VIVER INCORPORADORA E CONSTRUTORA S.A.,Consumo Cíclico / Construção Civil / Incorporações,66.512,(14.823),(16.360),46.317.035,TRUE
VULCABRAS/AZALEIA S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados,967.995,26.183,76.825,74.685.291,TRUE
WEG S.A.,Bens Industriais / Máquinas e Equipamentos / Motores . Compressores e Outros,7.923.152,308.207,53.268,740.696.136,TRUE
WETZEL S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,(177.945),(7.144),(2.496),0,TRUE
WHIRLPOOL S.A.,Consumo Cíclico / Utilidades Domésticas / Eletrodomésticos,2.550.754,348.550,111.538,28.701.029,TRUE
WILSON SONS LTD.,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,2.032.130,23.744,100.288,29.799.660,TRUE
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,Financeiro / Previdência e Seguros / Corretoras de Seguros,233.498,56.630,68.669,76.791.625,TRUE
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,Bens Industriais / Comércio / Material de Transporte,395.292,6.628,(2.681),5.501.255,TRUE
524 PARTICIPACOES S.A.,Outros / Outros / Outros,117,(75),(70),910,TRUE
